,source,reference,translation,z-score,avg-score,annotators,bert_metric_p,bert_metric_r,bert_metric_f,bleu_metric_mod_prec,bleu_metric_sen_bleu,Rouge1_metric_f,Rouge1_metric_r,Rouge1_metric_p,Rouge2_metric_f,Rouge2_metric_r,Rouge2_metric_p,RougeL_metric_f,RougeL_metric_r,RougeL_metric_p
2408,"Louis Galicia uvedl, že Frank nejprve přespával v ubytovnách, ale že nedávno „se mu konečně začalo dařit.“","Louis Galicia said that Frank first slept in hostels, but that recently ""he finally got to succeed.""","Louis Galicia said Frank initially stayed in hostels, but recently, ""Things were finally going well for him.""",0.310603496240911,68.0,1,0.6624172925949097,0.6944996118545532,0.6789358854293823,0.22935779816513763,7.143794796479137e-155,0.4999999950000001,0.5,0.5,0.23529411264705893,0.23529411764705882,0.23529411764705882,0.514285709289796,0.5294117647058824,0.5
9801,Na poslední olympiádě se Gabby Dougalsová překvapivě stala šampionkou olympijských her a Amerika jásala.,"At the last Olympics, Gabby Dougalsová surprisingly became the champion of the Olympic Games and America cried.","Last Olympics, Gabby Douglas was a surprise Olympic champion, and America cheered.",0.0842754324280663,85.0,2,0.6722518801689148,0.3978550136089325,0.5323676466941833,0.3048780487804878,8.236359489326175e-155,0.3448275813555292,0.29411764705882354,0.4166666666666667,0.14814814331961607,0.125,0.18181818181818182,0.37037036543209884,0.3333333333333333,0.4166666666666667
3660,Zemětřesení kolem Putina?,An earthquake around Putin?,Putin in the centre of a political earthquake?,0.516964636236364,87.0,2,0.33550405502319336,0.5026635527610779,0.4187285900115967,0.30434782608695654,8.22919432095016e-155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9695,"Podle jeho manželky je to nejvyšší hladina, kterou kdy na říčce za posledních 48 let zažila.","According to his wife, it's the highest level she had ever seen at the in the last 48 years.",His wife told Hansford that it's the highest she's seen the creek in the 48 years she's lived there.,0.8073913353244481,92.5,2,0.4440940320491791,0.5023041367530823,0.4738999307155609,0.22,6.9965437815511405e-155,0.4736842055263158,0.47368421052631576,0.47368421052631576,0.22222221722222232,0.2222222222222222,0.2222222222222222,0.42424241924701567,0.4117647058823529,0.4375
10268,"Třetina vozů je v současnosti vybavená klimatizací, zhruba polovina vlaků má nový systém uzavřených WC.","A third of the cars are currently equipped with air conditioning, about half of the trains have a new system of closed WC.","The state-owned carrier operates over two thousand locomotives, electric and diesel units and about 2,130 passenger carriages.",-1.6077370327423302,0.0,1,0.1126909926533699,0.09574434161186218,0.1056586429476738,0.1746031746031746,6.233016600506526e-155,0.04999999511250048,0.043478260869565216,0.058823529411764705,0.0,0.0,0.0,0.05555555061728439,0.05,0.0625
9013,"Dzhagaryan také očekává, že Rusko letos navštíví rekordní počet turistů z Íránu.",Dzhagaryan also expects Russia to visit a record number of tourists from Iran this year.,Dzhagaryan is also expecting a record number of Iranian tourists to visit Russia this year.,-0.298015608844574,56.0,2,0.8606985807418823,0.8455604314804077,0.8533579707145691,0.2967032967032967,8.125187685385635e-155,0.7999999950000002,0.8,0.8,0.3571428521428572,0.35714285714285715,0.35714285714285715,0.5999999950000001,0.6,0.6
293,"Zpráva o sledování údajného ruského útoku byla přísně tajná, protože jejím vyzrazením by vyšlo najevo, že americké tajné služby hackerský útok monitorují a odhalen by mohl být i způsob, jak to dělají a jakých zdrojů využívají.",The report on the monitoring of the alleged Russian attack was strictly secret because it would reveal that US intelligence hacker attacks were being monitored and revealed could be the way they do it and what resources they use.,"The report about the security services monitoring the alleged Russian attack was top secret, because its disclosure would have made it clear that the US services are doing just that, and it also could compromise the methods and sources used.",-0.164738983096638,72.0,2,0.49417710304260254,0.5082792639732361,0.5020299553871155,0.11203319502074689,4.99281617452237e-155,0.4810126532286493,0.48717948717948717,0.475,0.12987012487097338,0.13157894736842105,0.1282051282051282,0.41176470088235295,0.4117647058823529,0.4117647058823529
1499,"Ve Francii působí zhruba 2500 mešit a modliteben, asi 120 z nich slouží radikálnímu islamismu.","In France, there are about 2500 mosques and prayers, about 120 of them serving radical Islam.","There are roughly 2,500 mosques and places of worship in France, of which some 120 are thought to be under the influence of radical Islam.",0.3312746944555061,80.0,3,0.49565649032592773,0.6166816353797913,0.556226909160614,0.21014492753623187,6.838040543596996e-155,0.39024389767995243,0.5,0.32,0.10256409783037496,0.13333333333333333,0.08333333333333333,0.37837837355734116,0.4666666666666667,0.3181818181818182
1161,"Lidé ve Francii jsou negativně naladění obecně, ale poslední dobou se to ještě zhoršilo.","People in France have a negative attitude in general, but it has been getting worse lately.","People in France are generally quite negative, but it has become much worse lately.",0.664061558658052,93.0,2,0.7934724688529968,0.7774171829223633,0.7857818603515625,0.27710843373493976,7.852303686661079e-155,0.5333333283555556,0.5,0.5714285714285714,0.35714285216836733,0.3333333333333333,0.38461538461538464,0.5517241329369797,0.5333333333333333,0.5714285714285714
3907,"Policie obvinila dva útočníky, kteří v úterý v centru Olomouce napadli nožem a mačetou pětatřicetiletého muže.","The police accused the two attackers, who on Tuesday in the centre of Olomouc was attacked with a knife and a machete, a ??-year-old man.","The police arrested two men, who on Tuesday attacked a thirty-five-year-old man with a knife and a machete.",-1.61072855424476,20.0,2,0.5887787938117981,0.3976328670978546,0.4923452138900757,0.22429906542056074,7.064573497068916e-155,0.6511627858301786,0.56,0.7777777777777778,0.341463409779893,0.2916666666666667,0.4117647058823529,0.5789473635457064,0.5,0.6875
