,source,reference,translation,z-score,avg-score,annotators,bert_metric_p,bert_metric_r,bert_metric_f,bleu_metric_mod_prec,bleu_metric_sen_bleu,Rouge1_metric_f,Rouge1_metric_r,Rouge1_metric_p,Rouge2_metric_f,Rouge2_metric_r,Rouge2_metric_p,RougeL_metric_f,RougeL_metric_r,RougeL_metric_p
367,"Da der Sternenhaufen der Plejaden so nah ist, dient es als ideales kosmisches Labor, um stellare Qualitäten wie Rotationsraten zu vergleichen.","Since the star clusters of the Plejaden are so close, it serves as an ideal cosmic lab to compare stellar qualities such as rotation rates.","Because the Pleiades cluster is so close, it serves as an ideal cosmic laboratory to compare stellar qualities with spin rates.",0.712518447519602,97.0,1,0.7414328455924988,0.6661722660064697,0.704031229019165,0.1732283464566929,6.208428667974007e-155,0.6086956472117204,0.56,0.6666666666666666,0.4545454495867769,0.4166666666666667,0.5,0.6363636313739671,0.6086956521739131,0.6666666666666666
14497,Kenias Leichtathleten droht nach der zweiten Doping-Affäre bei den Olympischen Spielen in Rio de Janeiro Ungemach.,Kenya's athlete is in danger after the second doping affair at the Rio de Janeiro Olympics.,"Following the second doping scandal at the Rio Olympics, trouble is looming for Kenya's track and field athletes.",0.0012505441653619,95.0,2,0.5307087898254395,0.5853579044342041,0.558617115020752,0.20353982300884957,6.729718711374011e-155,0.4705882303114187,0.5,0.4444444444444444,0.24999999501953132,0.26666666666666666,0.23529411764705882,0.3124999950195313,0.3333333333333333,0.29411764705882354
4225,Die Polizei konnte den Täter festnehmen.,The police could arrest the perpetrator.,The police managed to arrest the perpetrator.,0.7312494614926339,100.0,1,0.7715715169906616,0.7731304168701172,0.7727208733558655,0.3333333333333333,8.612150057732663e-155,0.7692307642603551,0.8333333333333334,0.7142857142857143,0.5454545404958678,0.6,0.5,0.7692307642603551,0.8333333333333334,0.7142857142857143
16284,Dies sei nicht erkennbar.,This was not apparent.,This has not been noted.,-0.886094275429557,43.0,1,0.5327785611152649,0.598805844783783,0.5663015842437744,0.4583333333333333,1.0098641089188475e-154,0.4444444395061729,0.5,0.4,0.0,0.0,0.0,0.4444444395061729,0.5,0.4
7686,Äthiopiens Wirtschaft expandierte im beachtlichen Tempo.,Ethiopia's economy expanded at a significant pace.,Ethiopia's economy has been expanding at an impressive clip.,0.938439387794754,98.0,1,0.7425301671028137,0.8120648264884949,0.7774493098258972,0.31666666666666665,8.39408554793568e-155,0.37499999507812504,0.42857142857142855,0.3333333333333333,0.14285713795918387,0.16666666666666666,0.125,0.37499999507812504,0.42857142857142855,0.3333333333333333
1831,"2016 werden weniger als $ 1,4 Milliarden an Ausgaben für neue Projekte in der Nordsee im Vergleich zu durchschnittlich rund $ 7 Milliarden in den letzten fünf Jahren erwartet.","In 2016, less than $1.4 billion in spending on new projects in the North Sea compared with an average of around $7 billion over the past five years.","Less than $1.4 billion in spending on new projects in the North Sea is expected in 2016, compared with an average of around $7 billion in the past five years.",1.08947698364015,100.0,1,0.8270263075828552,0.8550002574920654,0.8412381410598755,0.21518987341772153,6.919634108515291e-155,0.8666666616722222,0.896551724137931,0.8387096774193549,0.7586206846611178,0.7857142857142857,0.7333333333333333,0.8846153796153846,0.8846153846153846,0.8846153846153846
11138,Der Kläger hatte sich bei dem Sturz eine Kniescheibe gebrochen.,The plaintiff had broken a knee in the fall.,The claimant had broken a kneecap in the fall.,1.04875690742619,96.0,1,0.7814234495162964,0.8845914006233215,0.8328198194503784,0.3695652173913043,9.068130481146265e-155,0.7777777727777778,0.7777777777777778,0.7777777777777778,0.4999999950000001,0.5,0.5,0.7777777727777778,0.7777777777777778,0.7777777777777778
8065,"Stattdessen bietet das Kempinksi Bristol eine Möglichkeit, Israel über ein eigenes Call Center anzuwählen.","Instead, the Kempinsi Bristol offers a way to choose Israel through its own call centre.","Instead, Kempinski Bristol offers an opportunity to dial Israel via an own call center.",1.3853047487375398,97.0,1,0.606464147567749,0.5343958139419556,0.5708909034729004,0.26436781609195403,7.669666985057712e-155,0.4827586156956005,0.4666666666666667,0.5,0.14814814315500704,0.14285714285714285,0.15384615384615385,0.4999999950255103,0.4666666666666667,0.5384615384615384
4643,Donald Trump Wahlkampagne angeklagt nachdem Mitarbeiter angeblich Waffe zog,Donald Trump election campaign charges after staff allegedly drew gun,Donald Trump campaign sued after staffer allegedly pulled a gun,0.236698459485536,91.0,1,0.7717915773391724,0.7147241234779358,0.7435306310653687,0.31746031746031744,8.404597869585078e-155,0.5999999950000001,0.6,0.6,0.11111110611111134,0.1111111111111111,0.1111111111111111,0.5999999950000001,0.6,0.6
6021,Sensibilisiert seien die Helfer aber schon.,The aid workers are made aware.,"However, volunteers are already aware of this.",0.774201466021629,89.0,1,0.4319862723350525,0.4172532558441162,0.4255439341068268,0.2391304347826087,7.294401135173922e-155,0.3076923027218935,0.3333333333333333,0.2857142857142857,0.0,0.0,0.0,0.3076923027218935,0.3333333333333333,0.2857142857142857
