,source,reference,translation,z-score,avg-score,annotators,bert_metric_p,bert_metric_r,bert_metric_f,bleu_metric_mod_prec,bleu_metric_sen_bleu,Rouge1_metric_f,Rouge1_metric_r,Rouge1_metric_p,Rouge2_metric_f,Rouge2_metric_r,Rouge2_metric_p,RougeL_metric_f,RougeL_metric_r,RougeL_metric_p
8637,It was like running into a series of moving buses for captain Tom Mitchell and co and the World Series champions went 5-0 up when Osea Kolinisau dived over in the corner.,就像跑步到一系列移动的公交车队长汤姆·米切尔和公司，世界系列冠军去了5-0，当Osea Kolinisau在角落里。,对于汤姆·米切尔和他的队友而言，这就像撞上了一连串正在行驶的公共汽车。当欧西·科林尼索冲入角旗区时，这支世界系列赛冠军球队已经以5比0的比分遥遥领先了。,-1.95570137945598,33.0,1,0.22460781037807465,0.3756525218486786,0.29709935188293457,0.3684210526315789,9.054082245784246e-155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2420,"After they were forcibly removed from the property, shocked housing associations officers found the property in a state of disrepair.",他们被强行从财产中搬走后，震惊的住房协会官员发现该财产年久失修。,在被强制从该住所遣离后，住房协会官员惊讶地发现这里遭到了严重破坏。,0.164169469330227,76.0,1,0.5212160348892212,0.519533634185791,0.5208740234375,0.48484848484848486,1.0386643774449973e-154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5849,"A gourmand, President Roosevelt had a taste for fancy Fifth Avenue foods like pâté de foie gras and Maryland terrapin soup.",一位美食家，罗斯福总统喜欢豪华的第五大道的食物，如p â t é t é de鹅肝和马里兰terrapin汤。,作为一名美食家，罗斯福总统喜欢第五大道的美食，比如鹅肝酱和马里兰炖水鱼。,-0.6646803385794899,61.0,1,0.7200747132301331,0.5386779308319092,0.6252955198287964,0.6944444444444444,1.2430567885333713e-154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6887,"Chinanews journalist found that there are at least nine provinces and cities issuing rules for the implementation of residence permit, including Hebei, Jilin, Tianjin, Jiangxi, Sichuan, Hainan, Gansu, Fujian and Beijing, etc.","中新网记者发现, 至少有九个省市颁布了实施居留许可的规定, 包括河北、吉林、天津、江西、四川、海南、甘肃、福建、北京等。",中新网记者梳理发现，目前至少已有河北、吉林、天津、江西、四川、海南、甘肃、福建、北京等9个省市出台了居住证实施细则。,0.8568801738820909,94.0,1,0.7579157948493958,0.7623045444488525,0.7603577971458435,0.6379310344827587,1.1914040743417237e-154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1416,"In Croatia's first two games of the Olympic Games, Salic received a total of 24 points, 17 rebounds and 12 assists.",在克罗地亚是第一个游戏的奥林匹克运动会，Salic收到总共24分，17个篮板和12帮助的。,克罗地亚在本届奥运会上的前两场比赛，萨里奇一共得到24分、17个篮板和12次助攻。,-0.8848152779119208,30.0,1,0.4558418393135071,0.46403756737709045,0.46049267053604126,0.5853658536585366,1.1412634483932475e-154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9506,"The brand RBS is to be reduced to a back office role, according to the bank's chief executive.",据该银行的首席执行官称，该品牌 RBS 将被削减为一个后台办公室。,据苏格兰皇家银行首席执行官透露，银行将简化为一个后勤部门。,-0.1574935010922959,72.0,1,0.594454288482666,0.5904223918914795,0.5928606390953064,0.4827586206896552,1.0364234592412658e-154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5614,"Julius Nielsen, who has been studying the sharks, says record goes to a female thought to be between 272 and 512 years old and is five metres in length",一直在研究鲨鱼的Julius Nielsen说，有记录显示，一名女性被认为在272至512岁之间，长度为5米,一直研究鲨鱼的 Julius Nielsen 说，据资料记载，有一头雌性小头睡鲨的年龄预计介于272岁至512岁之间，体长达五米。,0.949095962516126,96.0,1,0.5511866211891174,0.6307253241539001,0.5905089378356934,0.47692307692307695,1.0301403161610239e-154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6129,Scotland's Callum Skinner raced to glory in the men's team sprint at the Rio velodrome last night as the Team GB trio defended the title from London 2012.,苏格兰的Callum斯金纳( Callum Skinner )昨晚在Rio velodrome的男子球队短跑比赛中获得了荣誉，因为GB的三人队为2012年伦敦奥运会的冠军进行了辩护。,苏格兰自行车手卡尔姆·斯金纳昨晚在里约自行车赛场男子团体竞速赛帮助英国三人组继2012年伦敦奥运会之后成功卫冕奥运会金牌。,-0.622840573816806,55.0,1,0.4094550907611847,0.3174724578857422,0.3627825677394867,0.4098360655737705,9.549426766993161e-155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9095,"The court found Rahman ""cynically perverted"" the religious feeling of his Muslim community and silenced his critics with accusations of racism and Islamophobia.",法院发现拉赫曼“愤世嫉俗地歪曲了”穆斯林社区的宗教感觉，并以指责种族主义和仇视伊斯兰教为由沉默了批评者。,该法庭发现，拉赫曼“非常可笑地滥用”穆斯林社区的宗教情感，并对剑指他种族歧视和伊斯兰恐惧症的指控闭口不谈。,-0.233092012990597,59.0,6,0.5675294399261475,0.570837140083313,0.5696308016777039,0.5283018867924528,1.084209720350213e-154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6655,"Sunblock is generally marked with SPF and PA on the package. SPF refers to Sun Protection Function and is targeted at UVB. The common SPF index includes 15, 30, 50, etc.","防晒霜通常在包装上标明 spf 和 pa. spf 是指太阳保护功能, 是针对 uvb 的. 常用 spf 指数包括15、30、50等。",防晒霜包装上一般都标有SPF和PA，SPF是指防晒指数，是针对UVB紫外线的，我们常见的SPF指数有15、30、50等。,0.6385793369923161,88.0,2,0.6756394505500793,0.6653456091880798,0.6708216071128845,0.36666666666666664,9.032499182319503e-155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9972,"But after he was misjudged and lost the gold in the London Olympic Games, his magnanimous act won him so many funs.",但在他被误判并在伦敦奥运会上失去金牌后，他的大度行为为他赢得了如此多的乐趣。,而陈一冰则在率领中国拿到2012年奥运团体冠军的同时，也成为了吊环王。,-1.73442782491223,12.916666666666698,12,0.22188468277454376,0.1806187629699707,0.2017812579870224,0.22857142857142856,7.131537776075818e-155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5406,"Fiji started magnificently, bouncing off GB tackles for fun.",斐济很大程度上开始了对 GB 铲球的处理。,斐济开场就占据优势，使英国队毫无招架之力。,-1.30276932593569,0.0,1,0.1629958301782608,0.19410313665866852,0.17923332750797272,0.19047619047619047,6.5101735160946985e-155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7267,"""There was never a direct order"" not to include Israel in the fast dial list,"" Suddeutsche Zeitung quoted a Kempinski representative as saying.","""从来没有一个直接的命令"" 不包括以色列在快速拨号名单, ""南报援引一位凯宾斯基代表说。",《南德日报》引用了凯宾斯基代表的话：“从来没有下达过将以色列从快速拨号列表中删除的直接命令”。,-0.3767765490311189,47.0,1,0.4497359097003937,0.4705406725406647,0.46063706278800964,0.5531914893617021,1.1094556871400542e-154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3861,"Two jockeys have reached the milestone in jump racing - champion jockey Richard Johnson and retired 20-time champion Sir Anthony McCoy, who had more than 4,300 victories in a record-breaking career.",两名骑师在跳赛马冠军赛马理查德·约翰逊和退役20时总冠军安东尼·麦科伊爵士时达到了这座里程碑。安东尼·麦科伊爵士在破纪录的职业生涯中取得了4300多次胜利。,"在障碍赛领域，有两名骑师取得了这一成就，他们分别是冠军骑师理查德·约翰逊 (Richard Johnson) 和现已退役的20届冠军麦考伊 (Anthony McCoy) 爵士，其中麦考伊爵士在其破纪录的职业生涯中取得了超过4,300场胜利。",0.521834873267292,79.0,1,0.48271963000297546,0.5858597755432129,0.5332577228546143,0.34710743801652894,8.78828587623346e-155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4284,And they wondered if these repeated controversies pointed to a larger problem that the company has with diversity.,他们想知道这些反复出现的争议是否指出了公司具有多样性的一个更大的问题。,他们甚至认为这些反复出现的问题是否意味着该公司在多样性上存在较大的问题。,-0.527930452727791,83.0,2,0.6079201102256775,0.611689031124115,0.6102094650268555,0.5555555555555556,1.1118237916213198e-154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4150,"However Saturday's game turns out, the Americans have created a stir with their surprising run here, four years after finishing last among 12 teams at the London Games.",然而，星期六的比赛结果是，美国人在伦敦奥运会12支球队最后一队比赛4年后，就创造了这场比赛的轰动。,在周六的比赛中，美国队以惊人的表现创造了奇迹。要知道在四年前的伦敦奥运会上，美国队在12支队伍中垫底。,-0.250870834565485,47.0,1,0.4297577142715454,0.4263397753238678,0.4286428689956665,0.45098039215686275,1.0017308427355103e-154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9759,A survey of college students' social habits shows that 57% of college students spend more than 5 hours on mobile phone and is almost inseparable to his mobile phone during their daily lives.,一项对大学生社会习惯的调查显示，57%的大学生花在手机上的时间超过5个小时，在日常生活中几乎与他的手机密不可分。,一项针对大学生社交习惯的调查显示，57%的大学生每天使用手机的时间超过5小时，日常生活基本“机不离手”。,1.3273472218261395,96.0,1,0.7192596793174744,0.6777924299240112,0.698614239692688,0.5769230769230769,1.1330032907414993e-154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5954,"""A Square Meal"" is a feast of historical tidbits.",“一顿饭”是一场历史美食的盛宴。,《丰盛大餐》是一顿丰盛的“历史珍味”。,-0.308252961654122,81.0,1,0.45236632227897644,0.5325691103935242,0.4920574128627777,0.5263157894736842,1.0821698131427981e-154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2898,"While participating in the training course just now, she did not know where to start in painting and calligraphy. As a result, after the end of the course, she has been able to draw and write her own works.",当刚才时参加培训班，她在哪里在绘画和书法不知道开始。结果，在路线以后的结尾，她能得出和写她自己的工作。,刚刚参加培训班时，自己对于书画完全不知道从哪里下手，结果在培训班结束后，已经能画出和写出自己的作品。,-1.23314751375765,22.5,2,0.500433087348938,0.45861488580703735,0.4798067808151245,0.56,1.116262227598875e-154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
385,"During the Cold War, the Soviet Union transported the missile into Cuba, which almost led to the US-Soviet nuclear war.",在冷战期间，苏联将导弹运到古巴，几乎导致了美国核战争。,冷战期间，苏联把导弹运进古巴，差点导致美苏发生核战争。,0.273782285354781,75.0,2,0.7855371832847595,0.7739486694335938,0.7799553871154785,0.6296296296296297,1.1836268117234048e-154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
882,"Yesterday afternoon, Haidian court sentenced the case and the verdict said that Wang Zhi'an and Micro Dream Company did not constitute the infringement and dismissed the Lan Yuefeng for all the claims.",昨天下午，海淀法院判处了这一案件，并判定王晓安和微型梦想公司不构成侵犯，并驳回了所有的索赔。,昨天下午，海淀法院对该案进行了宣判，判决认定王志安及微梦公司不构成侵权，驳回了兰越峰的全部诉讼请求。,-0.0332854171964688,64.85714285714289,7,0.6610948443412781,0.7160419821739197,0.6884980797767639,0.54,1.0961477471554364e-154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2480,"Well, it turns out that I've been presidential chief of staff for four years and eight months.",嗯，事实证明我已经担任了四年八个月的总统工作人员。,"""结果是，我已担任总统办公厅主任四年八个月啦。""",-0.0005812019676838,61.0,1,0.5094963908195496,0.4980466663837433,0.5042693018913269,0.5416666666666666,1.0978380299592102e-154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6954,There's no better way to win it.,没有更好的办法赢了,没有什么比这场胜利更棒了。,-1.97656621146854,1.0,1,0.20664678514003754,0.20818515121936798,0.20824164152145386,0.3076923076923077,8.274286134223026e-155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8774,"Zhu Baoping, deputy director of the Jiangsu Provincial Agriculture Committee, said that the next step of Jiangsu government is to continue to promote the reform of community cooperation system, encourage farmers to jointly develop and establish a village-level democratic power operation mechanism.",江苏省农业委员会副主任朱宝平表示，江苏政府下一步是继续推进社区合作体制改革，鼓励农民共同开发建立村级民主力量运行机制。,江苏省农委副主任祝保平介绍说，江苏下一步将继续推动社区股份合作制改革，鼓励农民联合发展，建立村级的民主权力运行机制。,1.10152451428004,87.0,2,0.7625684142112732,0.7455626726150513,0.754284679889679,0.6206896551724138,1.1751937397595179e-154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5127,"On August 9, in the Dihua town cultural tourism scenic spots of Danfeng County, more than 10 young workers of Shangluo power supply company came here to carry out the ""introduce electricity activity in the ancient town"" and Double Seventh Festival theme activities.","8 月 9 日 ， 在 Danfeng 县的 Duhua 镇文化旅游景点 ， 上海电力供应公司的 10 多名年轻员工来到这里进行 ""古城"" 和双第七节主题活动的 ""引进电活动"" 。",8月9日，在丹凤县棣花古镇文化旅游景区，商洛供电公司10余名青年职工来到这里开展“相约古镇情满电力”暨我们的节日·七夕主题活动。,0.0440805931107295,64.0,1,0.542894721031189,0.5721087455749512,0.5578433871269226,0.5625,1.1187511096800396e-154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4755,"After taking the valuable 3 points, Lifan obtained a total of 27 scores, temporarily ranking the 10th at the scoreboard.",在拿到有价值的 3 点后 ， Lifan 获得了总共 27 分 ， 暂时地排名 10 分。,拿下这宝贵的3分之后，目前力帆的积分达到27分，暂居积分榜第10位。,1.04131175115016,98.0,1,0.3711392283439636,0.36526408791542053,0.36885446310043335,0.38235294117647056,9.22368437304256e-155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6287,It has been some journey for GB.,对于GB来说，这是一段旅程。,英国队能取得今天的成绩实属不易。,-1.3575905643788,24.0,1,0.03912986069917679,0.04822402819991112,0.04465755447745323,0.0625,3.729170365600141e-155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6366,"As a star ages, its spin rate begins to slow down.",作为一个恒星时代，它的旋转速度开始放缓。,随着恒星年龄的增加，其自转速度开始减慢。,-0.8288910188503911,34.0,1,0.5638532042503357,0.5621191263198853,0.5634410381317139,0.5,1.0547686614863434e-154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6714,"4 years after Uber joined the Taiwan market, it caused no small impact on the local traditional taxi industry.","进入台湾市场4年后, 对当地传统的出租车业产生了不小的影响。",Uber进入台湾市场4年，对当地传统出租车行业产生了不小的冲击。,-0.4845899015019,56.0,2,0.8527297973632812,0.852949857711792,0.8529932498931885,0.75,1.2918225086599675e-154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8998,"U.S. Wins 4th Straight in Women's Field Hockey, Setting Up Showdown With Britain",美国队赢得女子曲棍球四连胜，与英国进行比赛,美国在女子曲棍球赛中获得四连胜，将与英国一决胜负,0.295647040571349,79.0,1,0.6559181809425354,0.7081709504127502,0.6820175051689148,0.625,1.1792672138099217e-154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1383,"Sheng Yunyun, spokesman of National Bureau of Statistics and head of National Economic Statistics Division said that, in July, the part index number of national economy slowed relatively but still operated in the reasonable range.",盛云赟老师，发言人的国家统计局和国家经济统计司司长说，在七月份，该部分指数的国家的经济放缓比较，但仍工作在合理的范围。,国家统计局新闻发言人、国民经济综合统计司司长盛来运表示，7月份，国民经济部分指标增速有所放缓，但仍运行在合理区间。,0.370891820447667,93.0,1,0.5374438762664795,0.5130331516265869,0.5256468653678894,0.47368421052631576,1.0266364273830205e-154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2427,"Even for Tian Liang and Liu Xuan, who are not new in the entertainment circle, common people always think of their performance at the Olympic Games when mentioning them.",即使是田和刘璇，他们在娱乐圈子里也不是新的，一般人在值得一提时总是想着他们在奥运会上的表现。,毕竟运动员踏入一个新的领域，无论是能力还是人脉，均是一个空白状态。,-2.5461431951466404,4.0,1,0.18496465682983398,0.15099479258060455,0.16863630712032318,0.24242424242424243,7.344466246682815e-155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1650,"This combination provides life-long benefits for good health, success in school and work.",这种结合提供了生长的好处于良好的健康、成功的学校和工作。,这些可为一个人的健康、学业及工作成功带来终身益处。,-1.22466554006295,3.0,1,0.35497549176216125,0.34057870507240295,0.34842294454574585,0.48,1.0334580069279309e-154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7904,"Qi Fubei shed tears after she knew she won the blonde medal. At this time, we can know her pressure.",齐福北流眼泪后她知道自己夺得了金牌，此时，我们可以知道她的压力。,奇甫倍在确保铜牌后泪洒赛场，其间默默承受的冲金负担可想而知。,-1.2889538878215905,26.0,1,0.22081248462200165,0.23956261575222015,0.23092986643314362,0.3,8.170202920075766e-155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9601,"Ms. Ziegelman amplified: ""It was surreal.""","Ziegelman 女士补充说：""这是超现实的""。",齐格曼女士表示：“这也太奇怪了”。,-2.10124226143017,65.0,1,0.35462480783462524,0.40014511346817017,0.3777102828025818,0.29411764705882354,8.089706346934013e-155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
655,The renovation project of the two waterway started construction in February 2011. The delivery inspection was conducted in January 2015. The investment construction and operation main body is Jining City Anping Canal Logistics Service Center.,2011年2月，两个水道的翻修项目开始建设，2015年1月进行了进行检查。投资建设和运作主要机构是江昌市运动物流服务中心。,"两条航道的改造工程于2011年2月开工建设,2015年1月完成交工验收,投资建设和运营主体为济宁市安平运河物流服务中心。",0.519652344428323,70.0,1,0.6044420599937439,0.6140165328979492,0.6096242666244507,0.4166666666666667,9.628676480759687e-155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1849,"Last year, Brazil's ""green investment"" (in the investment model of building factories abroad) was $17.9 billion, a year-on-year fall of 2.1%.","去年，巴西的""绿色投资""(在投资模式的建筑物的工厂在国外)179亿美元，比上年下降2.1％以上。",去年，在巴西的“绿地投资”(到国外投资设厂的投资模式)为179亿美元，同比减少了2.1%。,0.323577009440034,71.8,5,0.6143495440483093,0.5655177235603333,0.5900290012359619,0.6,1.155441177691175e-154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3948,"According to the ABS-CBN television, the event occurred at Paranaque prison around 9 o'clock last night, but the police did not make a preliminary statement until 2 am today.",据ABS－CBN电视台报道，这起事件发生在昨晚9点左右的帕拉纳克监狱，但直到今天凌晨2点，警方没有作出初步陈述。,ABS-CBN电视台报道，事件于昨晚9时左右发生在帕拉纳圭市(Paranaque)监狱，但警方直到今天凌晨2时才提出初步说法。,-2.21330409266617,64.0,1,0.7506084442138672,0.7534945011138916,0.7523088455200195,0.6349206349206349,1.1885896293459588e-154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
