,source,reference,translation,z-score,avg-score,annotators,bert_metric_p,bert_metric_r,bert_metric_f,bleu_metric_mod_prec,bleu_metric_sen_bleu,Rouge1_metric_f,Rouge1_metric_r,Rouge1_metric_p,Rouge2_metric_f,Rouge2_metric_r,Rouge2_metric_p,RougeL_metric_f,RougeL_metric_r,RougeL_metric_p
13569,Речь идет о поправках в законы о связи и о СМИ.,It's about amendments to the law on communications and the media.,The issue concerns amendments to laws on communications and mass media.,-0.187923744664331,62.0,1,0.6906998753547668,0.7200084328651428,0.7057955861091614,0.22535211267605634,7.081137584278781e-155,0.5454545404545454,0.5454545454545454,0.5454545454545454,0.2999999950000001,0.3,0.3,0.5714285664399092,0.6,0.5454545454545454
7519,В то же время в Казани в ряде мечетей ранее использовался преимущественно русский язык.,"At the same time, Russian language was used in a number of mosques in Kazan.","On the other hand, a number of mosques in Kazan previously had been predominantly using the Russian language.",-0.7761974547323559,91.0,1,0.6174487471580505,0.7000088691711426,0.6589804291725159,0.21100917431192662,6.852087256206506e-155,0.5454545404958678,0.6,0.5,0.3870967692403746,0.42857142857142855,0.35294117647058826,0.4516128982726327,0.5,0.4117647058823529
9280,"Страна, однако, не была упомянута среди государств, куда можно позвонить прямо из комнаты.","The country, however, was not mentioned among states where one can call directly from the room.",The country however was not mentioned among the states one can call directly from the room.,0.958715905200016,100.0,1,0.823144257068634,0.7721275687217712,0.7978504300117493,0.24175824175824176,7.334370755660807e-155,0.812499995,0.8125,0.8125,0.5999999950000001,0.6,0.6,0.8387096724245579,0.8125,0.8666666666666667
4002,"В июне одна из первых моделей Victoria's Secret Стефани Сеймур раскритиковала Дженнер и её коллегу Джиджи Хадид, назвав их ""сучками момента"".","In June, one of the first Victoria's Secret model Stephanie Seymour attacked Jenner and her colleague Gigi Hadid, calling them ""bitches moment.""","In June, original Victoria's Secret model Stephanie Seymour criticised Jenner and her colleague Gigi Hadid, calling them the ""bitches of the moment.""",0.4295736643281161,89.0,1,0.7725563645362854,0.7413815259933472,0.7573205232620239,0.20134228187919462,6.6932910292440115e-155,0.8695652123913045,0.8695652173913043,0.8695652173913043,0.6363636313636364,0.6363636363636364,0.6363636363636364,0.7999999950024692,0.782608695652174,0.8181818181818182
1185,"Что-либо меньшее, чем отправиться обратно в дом своей семьи в Спринг, Техас, с горстью золотых медалей, рассматривалось бы как неоправдавшееся ожидание.","Anything less than going back to his family's home in Spring, Texas, with a handful of gold medals, would be treated as an unjustifiable wait.","Anything less than heading back to her family's home in Spring, Texas, with a fistful of golds would be seen as a disappointment.",-0.0565562491077909,67.0,1,0.6924739480018616,0.6335833072662354,0.6634203791618347,0.2248062015503876,7.072555424315237e-155,0.6666666616753473,0.64,0.6956521739130435,0.434782603705104,0.4166666666666667,0.45454545454545453,0.6808510588501585,0.64,0.7272727272727273
7298,Указом президента Сергей Иванов освобожден от должности руководителя администрации Кремля.,President Sergei Ivanov is released from his post as head of the Kremlin administration.,Sergei Ivanov is relieved of the post of head of the Kremlin administration by a presidential decree.,-0.9220911933933108,45.0,1,0.6627873182296753,0.7427843809127808,0.7029868960380554,0.2079207920792079,6.801758001396059e-155,0.5806451563371489,0.6428571428571429,0.5294117647058824,0.4137930985017836,0.46153846153846156,0.375,0.6428571378571429,0.6428571428571429,0.6428571428571429
11304,Его слова стали ответом на соответствующее заявление главы МИД Турции Мевлюта Чавушоглу.,His words were a response to the corresponding statement of the foreign Minister of Turkey Mevlut Cavusoglu.,"His words were in response to a corresponding statement from Turkey’s Foreign Minister, Mevlüt Çavuşoğlu.",1.03642796400691,99.0,1,0.4208318591117859,0.6930288076400757,0.554288387298584,0.23809523809523808,7.278595263653436e-155,0.49999999501953135,0.47058823529411764,0.5333333333333333,0.266666661688889,0.25,0.2857142857142857,0.4666666616666667,0.4666666666666667,0.4666666666666667
15538,"Теперь они готовы обеспечить третью взлетно-посадочную полосу, подтвержденную 16 миллиардами фунтов частных инвестиций.","Now they are ready to ensure third takeoff and landing strip, confirmed by 16 billion pounds of private investments.","Now they stand ready to deliver a third runway, backed by £16 billion of private investment.",0.292613011615563,71.0,1,0.6787623167037964,0.5756425261497498,0.6273289918899536,0.29347826086956524,8.080908403769157e-155,0.514285709322449,0.47368421052631576,0.5625,0.18181817685950424,0.16666666666666666,0.2,0.514285709322449,0.47368421052631576,0.5625
813,"Настало время для нас направить Олимпийский дух в нужное русло и расширить Хитроу, обеспечив наше торговое будущее и создав наследие навыков и занятость, которыми Британия сможет гордиться.","It is time for us to direct the Olympic spirit in the right direction and expand Heathrow, ensuring our trading future and creating a legacy of skills and employment that Britain can be proud of.","It is time for us to channel that Olympic spirit and expand Heathrow, securing our trading future and creating a legacy of skills and employment that Britain can be proud of.",0.8050367261280171,100.0,1,0.9146428108215332,0.8438370823860168,0.879219651222229,0.16666666666666666,6.08970970641905e-155,0.8484848435032142,0.8,0.9032258064516129,0.7499999950195314,0.7058823529411765,0.8,0.8620689605410227,0.8064516129032258,0.9259259259259259
5709,Трамп и Клинтон выступили с конкурирующими речами об экономике в Мичигане на этой неделе.,Trump and Clinton made competing speeches about the economy in Michigan this week.,Mr. Trump and Mrs. Clinton gave dueling economic speeches in Michigan this week.,0.657775585620648,98.0,1,0.7046616673469543,0.7802228927612305,0.7426113486289978,0.2875,7.998179382339513e-155,0.6153846103846154,0.6153846153846154,0.6153846153846154,0.3333333283333334,0.3333333333333333,0.3333333333333333,0.6153846103846154,0.6153846153846154,0.6153846153846154
13595,"Фанаты Олимпиады 2016 в Рио на этой неделе сходили с ума по французской велосипедистке Полин Ферран-Прево, которая, как оказалось, впечатляюще похожа на герцогиню Кембриджскую.","Fans of the 2016 Olympic Games in Rio this week went crazy on the French cyclist Pauline Ferran Prevost, who, as it turned out, impressive looks like the Duchess of Cambridge.","Fans of the Rio 2016 Olympics this week have gone wild for French cyclist Pauline Ferrand-Prevot, who has proven an impressive lookalike for the Duchess of Cambridge.",0.8431318812716301,91.0,1,0.5654051899909973,0.5250178575515747,0.5458753705024719,0.21084337349397592,6.849394707570255e-155,0.5172413743341262,0.4838709677419355,0.5555555555555556,0.285714280739796,0.26666666666666666,0.3076923076923077,0.4615384565680473,0.42857142857142855,0.5
9248,"Подробнее о выборе нового генподрядчика читайте в материале ""Ъ"" """"Метрострой"" пустили на поле"".",Read more about the choice of the new general contractor.,"For more information about the choice of the new general contractor, read the following Kommersant material: ‘Metrostroy has been let onto the pitch’.",0.356363797098139,96.0,1,0.20741790533065796,0.7894512414932251,0.4836994707584381,0.12666666666666668,5.308885841155885e-155,0.48484848062442615,0.8,0.34782608695652173,0.38709677007284077,0.6666666666666666,0.2727272727272727,0.4827586164090369,0.7777777777777778,0.35
4575,"Теперь они готовы обеспечить третью взлетно-посадочную полосу, подтвержденную 16 миллиардами фунтов частных инвестиций.",Now they are ready to provide a third runway confirmed by 16 billion pounds of private investment.,"Now they stand ready to deliver a third runway, backed by £16 billion of private investment.",0.0211694586295854,62.0,1,0.7335923314094543,0.7206047773361206,0.7275341153144836,0.2717391304347826,7.775857737021105e-155,0.6666666616712582,0.6470588235294118,0.6875,0.3225806401664933,0.3125,0.3333333333333333,0.6666666616712582,0.6470588235294118,0.6875
11494,"У нас был хороший старт, и в то же время мы не старались сделать что-то потрясающее.","We had a good start, and at the same time we tried to do something amazing.",We had a good start and at the same time we weren't looking to do anything amazing.,0.266509351689982,67.5,2,0.7360749244689941,0.807356059551239,0.7718654870986938,0.20481927710843373,6.750837127440617e-155,0.7878787828833793,0.8125,0.7647058823529411,0.5806451562955255,0.6,0.5625,0.7878787828833793,0.8125,0.7647058823529411
13295,Судиться в сфере ЖКХ довольно сложно.,To sue in the field of utilities is quite difficult.,It's fairly difficult to litigate in the housing and communal services sector.,0.6793426619590122,100.0,1,0.5146485567092896,0.6480198502540588,0.5812124013900757,0.1794871794871795,6.319590421966513e-155,0.27272726776859507,0.3,0.25,0.09999999505000023,0.1111111111111111,0.09090909090909091,0.18181817685950424,0.2,0.16666666666666666
12746,Лорд Пол Дейтон — председатель Совета Хитроу и бывший Торговый Атташе Казначейства,"Lord Paul Deighton, chairman of the Council of Heathrow and former trade attache of the Treasury",Lord Paul Deighton is chairman of the Heathrow Board and former Commercial Secretary to the Treasury,0.5729275343121539,90.0,1,0.6562879085540771,0.6295855045318604,0.6434844136238098,0.25,7.458340731200295e-155,0.624999995,0.625,0.625,0.3333333283333334,0.3333333333333333,0.3333333333333333,0.6428571378826532,0.6923076923076923,0.6
3238,"Семья сейчас переселена и, предполагается, живет в частной квартире",The family is now moved and is expected to live in a private apartment,The family have now been moved on and are believed to be living in a private accomodation,0.732102194456857,96.0,1,0.5630955696105957,0.7676660418510437,0.6640635132789612,0.21348314606741572,6.892138764900782e-155,0.5806451563371489,0.6428571428571429,0.5294117647058824,0.20689654677764577,0.23076923076923078,0.1875,0.5999999950888889,0.6923076923076923,0.5294117647058824
1926,"Экс-мэр Тауэр-Хамлетса Лутфур Рахман был отстранен от должности в прошлом году из-за коррупции, послужив толчком отчёту правительства","The ex-mayor of the Tower Hamlets Lutfur Rahman was dismissed last year due to corruption, prompting the government report","Ex-Tower Hamlets mayor Lutfur Rahman was removed from office last year for corruption, prompting the government report",0.982777815986457,95.0,1,0.7581053376197815,0.7354658246040344,0.7471738457679749,0.23728813559322035,7.2662481890066115e-155,0.6111111061265434,0.5789473684210527,0.6470588235294118,0.41176470089965406,0.3888888888888889,0.4375,0.6285714235755103,0.6111111111111112,0.6470588235294118
14701,"Только за последнюю неделю тысячи людей вышли на улицы, требуя радикальных политических изменений.","Only in last week of thousands of people they left to the streets, requiring radical political changes.","In the last week alone, thousands of people stormed into the streets, demanding fundamental political change.",-1.12564349907143,8.0,1,0.5154919028282166,0.4653902053833008,0.4911525845527649,0.1926605504587156,6.547396080819648e-155,0.4848484798530762,0.47058823529411764,0.5,0.2580645111342353,0.25,0.26666666666666666,0.5161290272632676,0.5,0.5333333333333333
16070,"Пострадавших с места катастрофы на машинах неотложки развели по медицинским учреждениям, где врачи оказывают им необходимую помощь.",Those affected by the disaster in the ambulances were given medical facilities where doctors provided them with the necessary assistance.,"The injured were taken from the scene of the accident by ambulance service vehicles to medical facilities, where doctors provided them with necessary care.",-0.426180876177743,60.0,1,0.5571691989898682,0.5794057846069336,0.5689672231674194,0.14838709677419354,5.7460616945177844e-155,0.4999999950413224,0.55,0.4583333333333333,0.19047618552154208,0.21052631578947367,0.17391304347826086,0.39024389751338495,0.4444444444444444,0.34782608695652173
4372,"Мы уверены, что исполнение предписания обеспечит возможность для развития конкуренции на рынке мобильного ПО в России, что благоприятно скажется на наших потребителях.","We are confident that the execution of the injunction will provide an opportunity for the development of competition in the mobile software market in Russia, which will have a favorable impact on our consumers.","We are confident that enforcement of the order will enable the development of competition in the mobile software market in Russia, which will have a positive impact on our consumers.",0.619649118114484,78.0,1,0.8800907731056213,0.843865692615509,0.8621453642845154,0.13736263736263737,5.528489970427814e-155,0.8124999950195313,0.7647058823529411,0.8666666666666667,0.6774193498595215,0.6363636363636364,0.7241379310344828,0.7924528252046993,0.75,0.84
