,source,reference,translation,z-score,avg-score,annotators,bert_metric_p,bert_metric_r,bert_metric_f,bleu_metric_mod_prec,bleu_metric_sen_bleu,Rouge1_metric_f,Rouge1_metric_r,Rouge1_metric_p,Rouge2_metric_f,Rouge2_metric_r,Rouge2_metric_p,RougeL_metric_f,RougeL_metric_r,RougeL_metric_p
21195,联邦税已成为总统竞选中的一大问题。,Federal tax has become a major issue in the presidential campaign.,Federal tax rates have become an issue in the presidential election.,1.38766008071584,100.0,1,0.8073850870132446,0.8350961804389954,0.8214981555938721,0.29411764705882354,8.089706346934013e-155,0.6363636313636364,0.6363636363636364,0.6363636363636364,0.3999999950000001,0.4,0.4,0.6363636313636364,0.6363636363636364,0.6363636363636364
12870,据《明镜周刊》的报道，酒店很快对所有指控予以澄清，声称一切都是“疏忽”并且向朗兹曼表示“歉意”。,"According to Der Spiegel, the hotel was quick to clarify all the allegations, claiming that everything was ""negligent"" and ""apologised"" to Lanzman.","The hotel itself was quick to brush off any accusations, calling what happened an ""oversight"" and ""apologizing"" to Lanzmann, Der Spiegel reports.",0.769327673421499,92.0,1,0.5834364891052246,0.5633792877197266,0.57408207654953,0.20689655172413793,6.7849842200014075e-155,0.3181818131818182,0.3181818181818182,0.3181818181818182,0.0952380902380955,0.09523809523809523,0.09523809523809523,0.2564102514398423,0.2777777777777778,0.23809523809523808
3378,过去四年里，首屈一指的女体操运动员一直是非裔美国人。,"For the past four years, the first female gymnasts have been African-American.","For the past four years, the number one female gymnast has been African-American.",0.38982138253193,86.0,4,0.787689745426178,0.8277546167373657,0.8079656958580017,0.2962962962962963,8.119612941892116e-155,0.7199999950079999,0.75,0.6923076923076923,0.5217391254442345,0.5454545454545454,0.5,0.6956521689224953,0.7272727272727273,0.6666666666666666
22791,沃州警方表示，一名女性在深夜“绝望地”躺在公路上并且被多辆车辗过。,"Vaud police said a woman who is ""desperate"" in the middle of the night lying on the road and was run over by cars.","A woman lay down in the dark on the road ""in a desperate act"" and was hit by several vehicles, Vaud police said in a statement.",-1.42797316317103,5.0,1,0.5112002491950989,0.5280022621154785,0.5203689932823181,0.18110236220472442,6.347961340900137e-155,0.5199999950080001,0.5416666666666666,0.5,0.2499999950086806,0.2608695652173913,0.24,0.35555555055802474,0.36363636363636365,0.34782608695652173
16894,吉勒斯·霍夫施泰特尔律师向《日内瓦论坛报》表示，目前已开始进行刑事调查，这是此类事件的常规流程。,"Lawyer Gilles Hchettzer told the Geneva Tribune that criminal investigations had been initiated and counsel for the Geneva Tribune, ""counsel for the Geneva Tribune, which is the, a routine process of such incidents.","A criminal investigation has been opened, a ""logical"" step in a situation like this, lawyer Gilles Hofstetter told Le Tribune de Geneve.",-0.4617561946962129,50.0,1,0.3412507176399231,0.1754310131072998,0.25822073221206665,0.21323529411764705,6.88813674844129e-155,0.21818181338181827,0.18181818181818182,0.2727272727272727,0.0,0.0,0.0,0.12499999507812519,0.1111111111111111,0.14285714285714285
25894,美国红十字会人员估计，大约有100人无家可归，其中60至70人暂留附近小区中心的收容所，他们大都是西裔居民。,"The United States Red Cross personnel estimate that approximately 100 people were homeless , of which 60 to 70 people are suspended to shelters in the nearby district centre , mostly the western residents.","American Red Cross staff estimated that about 100 people were homeless, 60 to 70 among which were mostly hispanic and stayed in the shelters nearby.",-0.2357668598373349,65.0,1,0.5758301615715027,0.48040685057640076,0.5284672975540161,0.1891891891891892,6.488142408864259e-155,0.5084745713875325,0.4411764705882353,0.6,0.21052631091412755,0.18181818181818182,0.25,0.4444444395061729,0.4,0.5
13702,要严密户籍档案管理，对无户口人员户口登记材料逐一建立电子和纸质档案，确保档案资料完整有效。,"Wants the strict household register records management, establishes the electron and paper file to the non-registered permanent address personnel household registration material one by one and ensure the reference material is complete.",The public security organ shall be strict with household registration management by gradually establishing electronic and paper files for people without Hukou (household registration) and ensure the completeness and validity.,-1.50922412026965,4.0,1,0.28993305563926697,0.28434380888938904,0.28829458355903625,0.09333333333333334,4.557121461266244e-155,0.29032257565036423,0.28125,0.3,0.13333332833888908,0.12903225806451613,0.13793103448275862,0.2641509384122464,0.28,0.25
11878,几百名学生参加了此次游行，表达了他们对这些方案的不满。,Several hundred students took part in the march to express their dissatisfaction with the programmes.,Several hundred students took part in the demonstration to express their dismay at the plans.,0.4921348585382561,94.5,2,0.868468701839447,0.8684778809547424,0.8686869740486145,0.21505376344086022,6.917445389779955e-155,0.7333333283333333,0.7333333333333333,0.7333333333333333,0.5714285664285715,0.5714285714285714,0.5714285714285714,0.7142857092857143,0.7142857142857143,0.7142857142857143
1973,在当日的比赛中，张彬彬一度排名中下游，似乎距离决赛十分遥远。,"In the day of the day, Zhang Bingley was ranked downstream and seemed to be far away from the finals.","At the game, Zhang Binbin was ranked in the middle and lower reaches and it seemed she was still quite far away from the final.",0.5748976837846279,97.0,1,0.5320448875427246,0.6337138414382935,0.5830916166305542,0.18110236220472442,6.347961340900137e-155,0.48888888395061736,0.55,0.44,0.18604650669551123,0.21052631578947367,0.16666666666666666,0.4615384565680473,0.5,0.42857142857142855
18086,国会小组表示，军事官员扭曲了ISIS的情报,"The Congressional panel said, the military officials distorted the ISIS Intelligence","Military Officials Distorted ISIS Intelligence, Congressional Panel Says",0.8271671337518699,93.75,4,0.4888461232185364,0.4709652364253998,0.480735719203949,0.2638888888888889,7.662716673720982e-155,0.21052631091412755,0.18181818181818182,0.25,0.0,0.0,0.0,0.11111110617283973,0.1,0.125
11265,他也表示，这次共有24个队伍参加“抢孤竞赛”，其中不仅有社团组织，还与一些学校合作，让学生参加。,"He also said a total of 24 teams participated in the ""Rolling Competition"", which not only organised associations, but also worked with some schools to allow students to attend.","He also said that this time a total of 24 teams participated in ""climbing competition"", which is not only organized by communities, but also in combination with schools and attended by students.",0.7087255932623822,93.0,1,0.5653026103973389,0.6173586845397949,0.5918733477592468,0.13917525773195877,5.564847057470558e-155,0.5901639294383232,0.6206896551724138,0.5625,0.338983045860385,0.35714285714285715,0.3225806451612903,0.6071428521492348,0.6296296296296297,0.5862068965517241
19224,要严密户籍档案管理，对无户口人员户口登记材料逐一建立电子和纸质档案，确保档案资料完整有效。,"To the strict the household registration Records Management, for non-accounts personnel accounts registration materials one by one and build the electronic and paper files, ensure that the archive information is complete and effective.",The public security organ shall be strict with household registration management by gradually establishing electronic and paper files for people without Hukou (household registration) and ensure the completeness and validity.,-0.4896871676155921,65.0,1,0.2658073604106903,0.2660258412361145,0.2671094536781311,0.10222222222222223,4.769192745373107e-155,0.3809523759637189,0.36363636363636365,0.4,0.0983606507497987,0.09375,0.10344827586206896,0.3333333283401921,0.34615384615384615,0.32142857142857145
3231,普京先生上台后，他又指定伊万诺夫先生为他最信任的五人之一。,"After Mr. Putin took office, he also designated Mr. Ivanov as one of his most trusted five.","When Mr Putin came to power, he named Mr Ivanov as one of the five people he trusted most.",0.981995551398581,100.0,2,0.6991251707077026,0.7095091938972473,0.7047929763793945,0.24444444444444444,7.375004699596371e-155,0.6111111061265434,0.6470588235294118,0.5789473684210527,0.2941176420761246,0.3125,0.2777777777777778,0.4848484798530762,0.5,0.47058823529411764
24350,英国议会将于9月5日复会，辩论的议题中包括网上要求的举办第二次脱欧公投事宜。,"The British Parliament will resume on September 5, and the debate will include an online request for a second Brexit referendum.",The British parliament will resume on September 5. The subject matter covers the second Brexit referendum required by the internet.,2.11956951125488,100.0,1,0.5963868498802185,0.5939775109291077,0.5958393216133118,0.1984732824427481,6.645432358962701e-155,0.4878048730517549,0.47619047619047616,0.5,0.30769230269559505,0.3,0.3157894736842105,0.5263157844875347,0.5,0.5555555555555556
1451,于是，黄伊琳向妈妈求救，听到女儿的呼救，水性不好的尹女士准备下水营救，被旁边的游客拦住。,"As a result, yellow asked her mother for help, and heard her daughter's call for help, water Yin, who was prepared to rescue, was stopped by the nearby tourists.","So Huang Yilin called to her mother for help. Hearing her daughter's call, Ms.Yin tried to rescue and was held up by other people.",0.155904858719728,75.0,1,0.43894416093826294,0.4202309250831604,0.4304973781108856,0.19230769230769232,6.541397549023557e-155,0.33333332836076823,0.3103448275862069,0.36,0.1153846104142014,0.10714285714285714,0.125,0.2916666616753473,0.28,0.30434782608695654
16258,参加运动意义重大，对女孩来说尤其如此。,"It is important to participate in the movement , especially for girls .","To participate in sport is so important, especially for girls.",-0.247430384613925,71.0,1,0.7011064887046814,0.5756673216819763,0.6382671594619751,0.2903225806451613,8.037345237875113e-155,0.5454545404958678,0.5,0.6,0.2999999950500001,0.2727272727272727,0.3333333333333333,0.4545454495867769,0.4166666666666667,0.5
16709,刚进公司的新人热爱跟同事线上交流，“因为才进单位大家不太熟，通过社交平台的点赞评论，关系才比以前近了许多”。,"New hires love to talk to their colleagues, ""because it is not so familiar with it,"" he said, they don't know well enough to the through the company and have a lot closer relationship with social networking platforms.","New comers in the company love online exchange with colleagues. ""We are not familiar with each other when we just come to the company. The likes and comments on social platform makes people much closer to one another. """,-0.990218982669086,57.0,1,0.2651147246360779,0.2444242388010025,0.25595906376838684,0.1141552511415525,5.039879612911436e-155,0.363636358637207,0.3684210526315789,0.358974358974359,0.0799999950008892,0.08108108108108109,0.07894736842105263,0.2608695602184416,0.2647058823529412,0.2571428571428571
16776,这不禁让人想起杭州陈经纶体校，这座中国泳坛的“黄埔军校”游出了多名世界冠军。,"This reminds people of the Hangzhou Chen Zhong sports school, the Chinese swimming academy ""Huang Jin military academy"" to swim out of the world champion.","This reminds people of Hangzhou Chen Jinglun School. This is a ""Whampoa Military Academy"" in China's swimming world, in which several world champions were born.",-0.740721813226603,14.0,1,0.39262568950653076,0.5012221336364746,0.4472782015800476,0.175,6.2400955540661846e-155,0.31999999500000004,0.32,0.32,0.16666666166666683,0.16666666666666666,0.16666666666666666,0.35555555055802474,0.36363636363636365,0.34782608695652173
7280,自从他的酷似于《华尔街狼人》 (Wolf of Wall Street) 主演造型的照片在推特上曝光后，美国男子射箭队员布莱迪·埃里森就在社交媒体上引起了巨大骚动。,"The American Men's Archery Team, Brady Ellison, has caused a huge stir in social media ever since his -like photo was exposed on Twitter.",U.S. Men's Archery Team member Brady Ellison has caused a storm on Twitter after images of him looking eerily similar to the Wolf of Wall Street star surfaced.,0.425098027905658,77.0,1,0.4152270555496216,0.5591989755630493,0.4870947599411011,0.16352201257861634,6.031986036780846e-155,0.30188678749733006,0.3333333333333333,0.27586206896551724,0.1568627401460978,0.17391304347826086,0.14285714285714285,0.3076923027218935,0.3333333333333333,0.2857142857142857
